device,source_table,name,doc_address,remote_pdu_offset,local_iec,northbound_table,northbound_pdu_offset,dtype,unit,scale,writable,pulse,description
condenser,INPUT,CONDENSATE_TEMPERATURE,30019,18,%IW18,INPUT,18,i16,degC,10,no,no,
condenser,INPUT,HOTWELL_MASS_HI,30020,19,%IW19,INPUT,19,u32,kg,1,no,no,
condenser,INPUT,HOTWELL_MASS_LO,30021,20,%IW20,INPUT,20,u16,kg,1,no,no,
condenser,INPUT,WATCHDOG_ECHO,30030,29,%IW29,INPUT,29,u16,,1,no,no,回應 40003 之值
condenser,INPUT,SCAN_TIME_MS,30031,30,%IW30,INPUT,30,u16,ms,10,no,no,物理掃描耗時 ×10
condenser,INPUT,MODBUS_REQUEST_COUNT,30032,31,%IW31,INPUT,31,u16,,1,no,no,已處理請求數（模 65536）
condenser,INPUT,REJECTED_COMMAND_COUNT,30033,32,%IW32,INPUT,32,u16,,1,no,no,
condenser,INPUT,EXCEPTION_COUNT,30034,33,%IW33,INPUT,33,u16,,1,no,no,
condenser,INPUT,SIM_QUALITY_WORD,30035,34,%IW34,INPUT,34,bitfield,,1,no,no,每個輸入訊號品質是否 GOOD
condenser,INPUT,SIM_TICK_LOW,30036,35,%IW35,INPUT,35,u16,,1,no,no,
condenser,INPUT,COMM_LOSS_SECONDS,30037,36,%IW36,INPUT,36,u16,s,10,no,no,
condenser,INPUT,FAULT_INJECT_WORD,30038,37,%IW37,INPUT,37,bitfield,,1,no,no,啟用中的故障注入
condenser,INPUT,SNAPSHOT_GENERATION,30039,38,%IW38,INPUT,38,u16,,1,no,no,每次快照還原 +1，供測試判斷環境已重置
condenser,INPUT,RUN_SECONDS_HI,30040,39,%IW39,INPUT,39,u32,s,1,no,no,
condenser,INPUT,RUN_SECONDS_LO,30041,40,%IW40,INPUT,40,u16,,1,no,no,
condenser,INPUT,START_COUNT,30042,41,%IW41,INPUT,41,u16,,1,no,no,
condenser,INPUT,TRIP_COUNT,30043,42,%IW42,INPUT,42,u16,,1,no,no,
condenser,INPUT,MASS_TOTAL_HI,30044,43,%IW43,INPUT,43,u32,kg,1,no,no,
condenser,INPUT,MASS_TOTAL_LO,30045,44,%IW44,INPUT,44,u16,,1,no,no,
condenser,INPUT,ENERGY_TOTAL_HI,30046,45,%IW45,INPUT,45,u32,kWh,1,no,no,
condenser,INPUT,ENERGY_TOTAL_LO,30047,46,%IW46,INPUT,46,u16,,1,no,no,
condenser,INPUT,ALARM_COUNT,30048,47,%IW47,INPUT,47,u16,,1,no,no,
condenser,INPUT,ACCEPTED_COMMAND_COUNT,30049,48,%IW48,INPUT,48,u16,,1,no,no,
condenser,HOLDING,CONTROL_MODE,40001,0,%QW0,HOLDING,0,enum,,1,yes,no,0=LOCAL_MANUAL 1=LOCAL_AUTO 2=REMOTE_MANUAL 3=REMOTE_AUTO 4=MAINTENANCE
condenser,HOLDING_READBACK,CONTROL_MODE,40001,0,%IW512,INPUT,512,enum,,1,no,no,FC3 readback: 0=LOCAL_MANUAL 1=LOCAL_AUTO 2=REMOTE_MANUAL 3=REMOTE_AUTO 4=MAINTENANCE
condenser,HOLDING,COMMAND_SEQUENCE,40002,1,%QW1,HOLDING,1,u16,,1,yes,no,命令序號，重置需為新值
condenser,HOLDING_READBACK,COMMAND_SEQUENCE,40002,1,%IW513,INPUT,513,u16,,1,no,no,FC3 readback: 命令序號，重置需為新值
condenser,HOLDING,WATCHDOG_COUNTER,40003,2,%QW2,HOLDING,2,u16,,1,yes,no,控制器每秒 +1
condenser,HOLDING_READBACK,WATCHDOG_COUNTER,40003,2,%IW514,INPUT,514,u16,,1,no,no,FC3 readback: 控制器每秒 +1
condenser,HOLDING,RESET_KEY,40004,3,%QW3,HOLDING,3,u16,,1,yes,no,重置鑰匙 0xA55A
condenser,HOLDING_READBACK,RESET_KEY,40004,3,%IW515,INPUT,515,u16,,1,no,no,FC3 readback: 重置鑰匙 0xA55A
condenser,HOLDING,SIMULATION_FLAGS,40005,4,%QW4,HOLDING,4,bitfield,,1,yes,no,
condenser,HOLDING_READBACK,SIMULATION_FLAGS,40005,4,%IW516,INPUT,516,bitfield,,1,no,no,FC3 readback:
condenser,HOLDING,ACTIVE_CONTROLLER_ID,40006,5,%QW5,HOLDING,5,u16,,1,yes,no,
condenser,HOLDING_READBACK,ACTIVE_CONTROLLER_ID,40006,5,%IW517,INPUT,517,u16,,1,no,no,FC3 readback:
condenser,HOLDING,COMMAND_LEASE_TIME,40007,6,%QW6,HOLDING,6,u16,s,1,yes,no,
condenser,HOLDING_READBACK,COMMAND_LEASE_TIME,40007,6,%IW518,INPUT,518,u16,s,1,no,no,FC3 readback:
condenser,HOLDING,OUTPUT_RATE_LIMIT,40008,7,%QW7,HOLDING,7,u16,%/s,100,yes,no,
condenser,HOLDING_READBACK,OUTPUT_RATE_LIMIT,40008,7,%IW519,INPUT,519,u16,%/s,100,no,no,FC3 readback:
condenser,HOLDING,RESERVED,40009,8,%QW8,HOLDING,8,u16,,1,yes,no,
condenser,HOLDING_READBACK,RESERVED,40009,8,%IW520,INPUT,520,u16,,1,no,no,FC3 readback:
condenser,HOLDING,PRIMARY_SETPOINT,40010,9,%QW9,HOLDING,9,u16,bar(a),10000,yes,no,冷凝器壓力設定值
condenser,HOLDING_READBACK,PRIMARY_SETPOINT,40010,9,%IW521,INPUT,521,u16,bar(a),10000,no,no,FC3 readback: 冷凝器壓力設定值
condenser,HOLDING,SECONDARY_SETPOINT,40011,10,%QW10,HOLDING,10,u16,%,100,yes,no,熱井水位設定值
condenser,HOLDING_READBACK,SECONDARY_SETPOINT,40011,10,%IW522,INPUT,522,u16,%,100,no,no,FC3 readback: 熱井水位設定值
condenser,HOLDING,MANUAL_OUTPUT,40012,11,%QW11,HOLDING,11,u16,%,100,yes,no,手動冷卻能力命令
condenser,HOLDING_READBACK,MANUAL_OUTPUT,40012,11,%IW523,INPUT,523,u16,%,100,no,no,FC3 readback: 手動冷卻能力命令
condenser,HOLDING,OUTPUT_HIGH_LIMIT,40013,12,%QW12,HOLDING,12,u16,%,100,yes,no,
condenser,HOLDING_READBACK,OUTPUT_HIGH_LIMIT,40013,12,%IW524,INPUT,524,u16,%,100,no,no,FC3 readback:
condenser,HOLDING,OUTPUT_LOW_LIMIT,40014,13,%QW13,HOLDING,13,u16,%,100,yes,no,
condenser,HOLDING_READBACK,OUTPUT_LOW_LIMIT,40014,13,%IW525,INPUT,525,u16,%,100,no,no,FC3 readback:
condenser,HOLDING,PID_KP,40020,19,%QW19,HOLDING,19,u16,,100,yes,no,
condenser,HOLDING_READBACK,PID_KP,40020,19,%IW531,INPUT,531,u16,,100,no,no,FC3 readback:
condenser,HOLDING,PID_KI,40021,20,%QW20,HOLDING,20,u16,,100,yes,no,
condenser,HOLDING_READBACK,PID_KI,40021,20,%IW532,INPUT,532,u16,,100,no,no,FC3 readback:
condenser,HOLDING,PID_KD,40022,21,%QW21,HOLDING,21,u16,,100,yes,no,
condenser,HOLDING_READBACK,PID_KD,40022,21,%IW533,INPUT,533,u16,,100,no,no,FC3 readback:
condenser,HOLDING,DEADBAND,40023,22,%QW22,HOLDING,22,u16,,100,yes,no,
condenser,HOLDING_READBACK,DEADBAND,40023,22,%IW534,INPUT,534,u16,,100,no,no,FC3 readback:
condenser,HOLDING,INTEGRAL_LIMIT,40024,23,%QW23,HOLDING,23,u16,,100,yes,no,
condenser,HOLDING_READBACK,INTEGRAL_LIMIT,40024,23,%IW535,INPUT,535,u16,,100,no,no,FC3 readback:
condenser,HOLDING,CONTROLLER_SCAN_TIME,40025,24,%QW24,HOLDING,24,u16,ms,1,yes,no,
condenser,HOLDING_READBACK,CONTROLLER_SCAN_TIME,40025,24,%IW536,INPUT,536,u16,ms,1,no,no,FC3 readback:
condenser,HOLDING,MAKEUP_VALVE_CMD,40030,29,%QW29,HOLDING,29,u16,%,100,yes,no,補水閥命令
condenser,HOLDING_READBACK,MAKEUP_VALVE_CMD,40030,29,%IW541,INPUT,541,u16,%,100,no,no,FC3 readback: 補水閥命令
condensate_pump,COIL,START,1,0,%QX2.0,COIL,16,u16,,1,yes,yes,脈衝啟動命令
condensate_pump,COIL,STOP,2,1,%QX2.1,COIL,17,u16,,1,yes,yes,正常停止
condensate_pump,COIL,RESET_TRIP,3,2,%QX2.2,COIL,18,u16,,1,yes,yes,跳機重置脈衝，需 Reset Key
condensate_pump,COIL,ACK_ALARM,4,3,%QX2.3,COIL,19,u16,,1,yes,yes,警報確認
condensate_pump,COIL,EMERGENCY_STOP,5,4,%QX2.4,COIL,20,u16,,1,yes,no,緊急停止（保持型）
condensate_pump,COIL,FORCE_SAFE,6,5,%QX2.5,COIL,21,u16,,1,yes,no,強制安全狀態
condensate_pump,COIL,TRIP_TEST,7,6,%QX2.6,COIL,22,u16,,1,yes,yes,實驗模式跳機測試（需 LAB_MODE）
condensate_pump,COIL,CLEAR_TOTALIZER,8,7,%QX2.7,COIL,23,u16,,1,yes,yes,清除累積值
condensate_pump,DISCRETE,READY,10001,0,%IX2.0,DISCRETE,16,u16,,1,no,no,
condensate_pump,DISCRETE,RUNNING,10002,1,%IX2.1,DISCRETE,17,u16,,1,no,no,
condensate_pump,DISCRETE,STARTING,10003,2,%IX2.2,DISCRETE,18,u16,,1,no,no,
condensate_pump,DISCRETE,STOPPING,10004,3,%IX2.3,DISCRETE,19,u16,,1,no,no,
condensate_pump,DISCRETE,TRIPPED,10005,4,%IX2.4,DISCRETE,20,u16,,1,no,no,
condensate_pump,DISCRETE,ALARM_ACTIVE,10006,5,%IX2.5,DISCRETE,21,u16,,1,no,no,
condensate_pump,DISCRETE,LOCAL_MODE,10007,6,%IX2.6,DISCRETE,22,u16,,1,no,no,
condensate_pump,DISCRETE,REMOTE_MODE,10008,7,%IX2.7,DISCRETE,23,u16,,1,no,no,
condensate_pump,DISCRETE,AUTO_MODE,10009,8,%IX3.0,DISCRETE,24,u16,,1,no,no,
condensate_pump,DISCRETE,MANUAL_MODE,10010,9,%IX3.1,DISCRETE,25,u16,,1,no,no,
condensate_pump,DISCRETE,CONTROL_WATCHDOG_OK,10011,10,%IX3.2,DISCRETE,26,u16,,1,no,no,
condensate_pump,DISCRETE,SIM_BUS_OK,10012,11,%IX3.3,DISCRETE,27,u16,,1,no,no,
condensate_pump,DISCRETE,INTERLOCKS_OK,10013,12,%IX3.4,DISCRETE,28,u16,,1,no,no,
condensate_pump,DISCRETE,SENSOR_FAULT,10014,13,%IX3.5,DISCRETE,29,u16,,1,no,no,
condensate_pump,DISCRETE,ACTUATOR_FAULT,10015,14,%IX3.6,DISCRETE,30,u16,,1,no,no,
condensate_pump,DISCRETE,MAINTENANCE_MODE,10016,15,%IX3.7,DISCRETE,31,u16,,1,no,no,
condensate_pump,INPUT,STATUS_WORD,30001,0,%IW64,INPUT,64,bitfield,,1,no,no,狀態字
condensate_pump,INPUT,ALARM_WORD_1,30002,1,%IW65,INPUT,65,bitfield,,1,no,no,
condensate_pump,INPUT,ALARM_WORD_2,30003,2,%IW66,INPUT,66,bitfield,,1,no,no,
condensate_pump,INPUT,TRIP_WORD,30004,3,%IW67,INPUT,67,bitfield,,1,no,no,
condensate_pump,INPUT,DEVICE_STATE,30005,4,%IW68,INPUT,68,enum,,1,no,no,
condensate_pump,INPUT,FIRST_OUT_CODE,30006,5,%IW69,INPUT,69,u16,,1,no,no,
condensate_pump,INPUT,OVERALL_QUALITY,30007,6,%IW70,INPUT,70,enum,,1,no,no,
condensate_pump,INPUT,REGISTER_MAP_VERSION,30008,7,%IW71,INPUT,71,u16,,1,no,no,
condensate_pump,INPUT,FIRMWARE_VERSION,30009,8,%IW72,INPUT,72,u16,,1,no,no,
condensate_pump,INPUT,ACTUAL_SPEED,30010,9,%IW73,INPUT,73,u16,%,100,no,no,
condensate_pump,INPUT,FLOW,30011,10,%IW74,INPUT,74,u16,kg/s,100,no,no,
condensate_pump,INPUT,SUCTION_PRESSURE,30012,11,%IW75,INPUT,75,u16,bar(a),1000,no,no,
condensate_pump,INPUT,DISCHARGE_PRESSURE,30013,12,%IW76,INPUT,76,u16,bar(a),100,no,no,
condensate_pump,INPUT,MOTOR_CURRENT,30014,13,%IW77,INPUT,77,u16,A,10,no,no,
condensate_pump,INPUT,NPSH_MARGIN,30015,14,%IW78,INPUT,78,u16,m,100,no,no,
condensate_pump,INPUT,VIBRATION,30016,15,%IW79,INPUT,79,u16,mm/s,100,no,no,
condensate_pump,INPUT,SOURCE_LEVEL,30017,16,%IW80,INPUT,80,u16,%,100,no,no,
condensate_pump,INPUT,BACKPRESSURE,30018,17,%IW81,INPUT,81,u16,bar(a),100,no,no,
condensate_pump,INPUT,OUTLET_VALVE_POSITION,30019,18,%IW82,INPUT,82,u16,%,100,no,no,
condensate_pump,INPUT,CAVITATION_FACTOR,30020,19,%IW83,INPUT,83,u16,%,100,no,no,
condensate_pump,INPUT,WATCHDOG_ECHO,30030,29,%IW93,INPUT,93,u16,,1,no,no,回應 40003 之值
condensate_pump,INPUT,SCAN_TIME_MS,30031,30,%IW94,INPUT,94,u16,ms,10,no,no,物理掃描耗時 ×10
condensate_pump,INPUT,MODBUS_REQUEST_COUNT,30032,31,%IW95,INPUT,95,u16,,1,no,no,已處理請求數（模 65536）
condensate_pump,INPUT,REJECTED_COMMAND_COUNT,30033,32,%IW96,INPUT,96,u16,,1,no,no,
condensate_pump,INPUT,EXCEPTION_COUNT,30034,33,%IW97,INPUT,97,u16,,1,no,no,
condensate_pump,INPUT,SIM_QUALITY_WORD,30035,34,%IW98,INPUT,98,bitfield,,1,no,no,每個輸入訊號品質是否 GOOD
condensate_pump,INPUT,SIM_TICK_LOW,30036,35,%IW99,INPUT,99,u16,,1,no,no,
condensate_pump,INPUT,COMM_LOSS_SECONDS,30037,36,%IW100,INPUT,100,u16,s,10,no,no,
condensate_pump,INPUT,FAULT_INJECT_WORD,30038,37,%IW101,INPUT,101,bitfield,,1,no,no,啟用中的故障注入
condensate_pump,INPUT,SNAPSHOT_GENERATION,30039,38,%IW102,INPUT,102,u16,,1,no,no,每次快照還原 +1，供測試判斷環境已重置
condensate_pump,INPUT,RUN_SECONDS_HI,30040,39,%IW103,INPUT,103,u32,s,1,no,no,
condensate_pump,INPUT,RUN_SECONDS_LO,30041,40,%IW104,INPUT,104,u16,,1,no,no,
condensate_pump,INPUT,START_COUNT,30042,41,%IW105,INPUT,105,u16,,1,no,no,
condensate_pump,INPUT,TRIP_COUNT,30043,42,%IW106,INPUT,106,u16,,1,no,no,
condensate_pump,INPUT,MASS_TOTAL_HI,30044,43,%IW107,INPUT,107,u32,kg,1,no,no,
condensate_pump,INPUT,MASS_TOTAL_LO,30045,44,%IW108,INPUT,108,u16,,1,no,no,
condensate_pump,INPUT,ENERGY_TOTAL_HI,30046,45,%IW109,INPUT,109,u32,kWh,1,no,no,
condensate_pump,INPUT,ENERGY_TOTAL_LO,30047,46,%IW110,INPUT,110,u16,,1,no,no,
condensate_pump,INPUT,ALARM_COUNT,30048,47,%IW111,INPUT,111,u16,,1,no,no,
condensate_pump,INPUT,ACCEPTED_COMMAND_COUNT,30049,48,%IW112,INPUT,112,u16,,1,no,no,
condensate_pump,HOLDING,CONTROL_MODE,40001,0,%QW64,HOLDING,64,enum,,1,yes,no,0=LOCAL_MANUAL 1=LOCAL_AUTO 2=REMOTE_MANUAL 3=REMOTE_AUTO 4=MAINTENANCE
condensate_pump,HOLDING_READBACK,CONTROL_MODE,40001,0,%IW576,INPUT,576,enum,,1,no,no,FC3 readback: 0=LOCAL_MANUAL 1=LOCAL_AUTO 2=REMOTE_MANUAL 3=REMOTE_AUTO 4=MAINTENANCE
condensate_pump,HOLDING,COMMAND_SEQUENCE,40002,1,%QW65,HOLDING,65,u16,,1,yes,no,命令序號，重置需為新值
condensate_pump,HOLDING_READBACK,COMMAND_SEQUENCE,40002,1,%IW577,INPUT,577,u16,,1,no,no,FC3 readback: 命令序號，重置需為新值
condensate_pump,HOLDING,WATCHDOG_COUNTER,40003,2,%QW66,HOLDING,66,u16,,1,yes,no,控制器每秒 +1
condensate_pump,HOLDING_READBACK,WATCHDOG_COUNTER,40003,2,%IW578,INPUT,578,u16,,1,no,no,FC3 readback: 控制器每秒 +1
condensate_pump,HOLDING,RESET_KEY,40004,3,%QW67,HOLDING,67,u16,,1,yes,no,重置鑰匙 0xA55A
condensate_pump,HOLDING_READBACK,RESET_KEY,40004,3,%IW579,INPUT,579,u16,,1,no,no,FC3 readback: 重置鑰匙 0xA55A
condensate_pump,HOLDING,SIMULATION_FLAGS,40005,4,%QW68,HOLDING,68,bitfield,,1,yes,no,
condensate_pump,HOLDING_READBACK,SIMULATION_FLAGS,40005,4,%IW580,INPUT,580,bitfield,,1,no,no,FC3 readback:
condensate_pump,HOLDING,ACTIVE_CONTROLLER_ID,40006,5,%QW69,HOLDING,69,u16,,1,yes,no,
condensate_pump,HOLDING_READBACK,ACTIVE_CONTROLLER_ID,40006,5,%IW581,INPUT,581,u16,,1,no,no,FC3 readback:
condensate_pump,HOLDING,COMMAND_LEASE_TIME,40007,6,%QW70,HOLDING,70,u16,s,1,yes,no,
condensate_pump,HOLDING_READBACK,COMMAND_LEASE_TIME,40007,6,%IW582,INPUT,582,u16,s,1,no,no,FC3 readback:
condensate_pump,HOLDING,OUTPUT_RATE_LIMIT,40008,7,%QW71,HOLDING,71,u16,%/s,100,yes,no,
condensate_pump,HOLDING_READBACK,OUTPUT_RATE_LIMIT,40008,7,%IW583,INPUT,583,u16,%/s,100,no,no,FC3 readback:
condensate_pump,HOLDING,RESERVED,40009,8,%QW72,HOLDING,72,u16,,1,yes,no,
condensate_pump,HOLDING_READBACK,RESERVED,40009,8,%IW584,INPUT,584,u16,,1,no,no,FC3 readback:
condensate_pump,HOLDING,PRIMARY_SETPOINT,40010,9,%QW73,HOLDING,73,u16,%,100,yes,no,給水槽水位設定值
condensate_pump,HOLDING_READBACK,PRIMARY_SETPOINT,40010,9,%IW585,INPUT,585,u16,%,100,no,no,FC3 readback: 給水槽水位設定值
condensate_pump,HOLDING,SECONDARY_SETPOINT,40011,10,%QW74,HOLDING,74,u16,,1,yes,no,
condensate_pump,HOLDING_READBACK,SECONDARY_SETPOINT,40011,10,%IW586,INPUT,586,u16,,1,no,no,FC3 readback:
condensate_pump,HOLDING,MANUAL_OUTPUT,40012,11,%QW75,HOLDING,75,u16,%,100,yes,no,手動泵浦速度
condensate_pump,HOLDING_READBACK,MANUAL_OUTPUT,40012,11,%IW587,INPUT,587,u16,%,100,no,no,FC3 readback: 手動泵浦速度
condensate_pump,HOLDING,OUTPUT_HIGH_LIMIT,40013,12,%QW76,HOLDING,76,u16,%,100,yes,no,
condensate_pump,HOLDING_READBACK,OUTPUT_HIGH_LIMIT,40013,12,%IW588,INPUT,588,u16,%,100,no,no,FC3 readback:
condensate_pump,HOLDING,OUTPUT_LOW_LIMIT,40014,13,%QW77,HOLDING,77,u16,%,100,yes,no,
condensate_pump,HOLDING_READBACK,OUTPUT_LOW_LIMIT,40014,13,%IW589,INPUT,589,u16,%,100,no,no,FC3 readback:
condensate_pump,HOLDING,PID_KP,40020,19,%QW83,HOLDING,83,u16,,100,yes,no,
condensate_pump,HOLDING_READBACK,PID_KP,40020,19,%IW595,INPUT,595,u16,,100,no,no,FC3 readback:
condensate_pump,HOLDING,PID_KI,40021,20,%QW84,HOLDING,84,u16,,100,yes,no,
condensate_pump,HOLDING_READBACK,PID_KI,40021,20,%IW596,INPUT,596,u16,,100,no,no,FC3 readback:
condensate_pump,HOLDING,PID_KD,40022,21,%QW85,HOLDING,85,u16,,100,yes,no,
condensate_pump,HOLDING_READBACK,PID_KD,40022,21,%IW597,INPUT,597,u16,,100,no,no,FC3 readback:
condensate_pump,HOLDING,DEADBAND,40023,22,%QW86,HOLDING,86,u16,,100,yes,no,
condensate_pump,HOLDING_READBACK,DEADBAND,40023,22,%IW598,INPUT,598,u16,,100,no,no,FC3 readback:
condensate_pump,HOLDING,INTEGRAL_LIMIT,40024,23,%QW87,HOLDING,87,u16,,100,yes,no,
condensate_pump,HOLDING_READBACK,INTEGRAL_LIMIT,40024,23,%IW599,INPUT,599,u16,,100,no,no,FC3 readback:
condensate_pump,HOLDING,CONTROLLER_SCAN_TIME,40025,24,%QW88,HOLDING,88,u16,ms,1,yes,no,
condensate_pump,HOLDING_READBACK,CONTROLLER_SCAN_TIME,40025,24,%IW600,INPUT,600,u16,ms,1,no,no,FC3 readback:
feedwater_tank,COIL,START,1,0,%QX4.0,COIL,32,u16,,1,yes,yes,脈衝啟動命令
feedwater_tank,COIL,STOP,2,1,%QX4.1,COIL,33,u16,,1,yes,yes,正常停止
feedwater_tank,COIL,RESET_TRIP,3,2,%QX4.2,COIL,34,u16,,1,yes,yes,跳機重置脈衝，需 Reset Key
feedwater_tank,COIL,ACK_ALARM,4,3,%QX4.3,COIL,35,u16,,1,yes,yes,警報確認
feedwater_tank,COIL,EMERGENCY_STOP,5,4,%QX4.4,COIL,36,u16,,1,yes,no,緊急停止（保持型）
feedwater_tank,COIL,FORCE_SAFE,6,5,%QX4.5,COIL,37,u16,,1,yes,no,強制安全狀態
feedwater_tank,COIL,TRIP_TEST,7,6,%QX4.6,COIL,38,u16,,1,yes,yes,實驗模式跳機測試（需 LAB_MODE）
feedwater_tank,COIL,CLEAR_TOTALIZER,8,7,%QX4.7,COIL,39,u16,,1,yes,yes,清除累積值
feedwater_tank,DISCRETE,READY,10001,0,%IX4.0,DISCRETE,32,u16,,1,no,no,
feedwater_tank,DISCRETE,RUNNING,10002,1,%IX4.1,DISCRETE,33,u16,,1,no,no,
feedwater_tank,DISCRETE,STARTING,10003,2,%IX4.2,DISCRETE,34,u16,,1,no,no,
feedwater_tank,DISCRETE,STOPPING,10004,3,%IX4.3,DISCRETE,35,u16,,1,no,no,
feedwater_tank,DISCRETE,TRIPPED,10005,4,%IX4.4,DISCRETE,36,u16,,1,no,no,
feedwater_tank,DISCRETE,ALARM_ACTIVE,10006,5,%IX4.5,DISCRETE,37,u16,,1,no,no,
feedwater_tank,DISCRETE,LOCAL_MODE,10007,6,%IX4.6,DISCRETE,38,u16,,1,no,no,
feedwater_tank,DISCRETE,REMOTE_MODE,10008,7,%IX4.7,DISCRETE,39,u16,,1,no,no,
feedwater_tank,DISCRETE,AUTO_MODE,10009,8,%IX5.0,DISCRETE,40,u16,,1,no,no,
feedwater_tank,DISCRETE,MANUAL_MODE,10010,9,%IX5.1,DISCRETE,41,u16,,1,no,no,
feedwater_tank,DISCRETE,CONTROL_WATCHDOG_OK,10011,10,%IX5.2,DISCRETE,42,u16,,1,no,no,
feedwater_tank,DISCRETE,SIM_BUS_OK,10012,11,%IX5.3,DISCRETE,43,u16,,1,no,no,
feedwater_tank,DISCRETE,INTERLOCKS_OK,10013,12,%IX5.4,DISCRETE,44,u16,,1,no,no,
feedwater_tank,DISCRETE,SENSOR_FAULT,10014,13,%IX5.5,DISCRETE,45,u16,,1,no,no,
feedwater_tank,DISCRETE,ACTUATOR_FAULT,10015,14,%IX5.6,DISCRETE,46,u16,,1,no,no,
feedwater_tank,DISCRETE,MAINTENANCE_MODE,10016,15,%IX5.7,DISCRETE,47,u16,,1,no,no,
