device,source_table,name,doc_address,remote_pdu_offset,local_iec,northbound_table,northbound_pdu_offset,dtype,unit,scale,writable,pulse,plc_forwards,description
condenser,HOLDING,WATCHDOG_COUNTER,40003,2,%QW101,HOLDING,101,u16,,1,yes,no,yes,控制器每秒 +1
condenser,HOLDING,RESET_KEY,40004,3,%QW102,HOLDING,102,u16,,1,yes,no,yes,重置鑰匙 0xA55A
condensate_pump,COIL,START,1,0,%QX101.0,COIL,808,u16,,1,yes,yes,yes,脈衝啟動命令
condensate_pump,COIL,STOP,2,1,%QX101.1,COIL,809,u16,,1,yes,yes,yes,正常停止
condensate_pump,COIL,RESET_TRIP,3,2,%QX101.2,COIL,810,u16,,1,yes,yes,yes,跳機重置脈衝，需 Reset Key
condensate_pump,COIL,ACK_ALARM,4,3,%QX101.3,COIL,811,u16,,1,yes,yes,yes,警報確認
condensate_pump,COIL,EMERGENCY_STOP,5,4,%QX101.4,COIL,812,u16,,1,yes,no,yes,緊急停止（保持型）
condensate_pump,COIL,FORCE_SAFE,6,5,%QX101.5,COIL,813,u16,,1,yes,no,yes,強制安全狀態
condensate_pump,COIL,TRIP_TEST,7,6,%QX101.6,COIL,814,u16,,1,yes,yes,yes,實驗模式跳機測試（需 LAB_MODE）
condensate_pump,COIL,CLEAR_TOTALIZER,8,7,%QX101.7,COIL,815,u16,,1,yes,yes,yes,清除累積值
condensate_pump,DISCRETE,READY,10001,0,%IX102.0,DISCRETE,816,u16,,1,no,no,no,
condensate_pump,DISCRETE,RUNNING,10002,1,%IX102.1,DISCRETE,817,u16,,1,no,no,no,
condensate_pump,DISCRETE,STARTING,10003,2,%IX102.2,DISCRETE,818,u16,,1,no,no,no,
condensate_pump,DISCRETE,STOPPING,10004,3,%IX102.3,DISCRETE,819,u16,,1,no,no,no,
condensate_pump,DISCRETE,TRIPPED,10005,4,%IX102.4,DISCRETE,820,u16,,1,no,no,no,
condensate_pump,DISCRETE,ALARM_ACTIVE,10006,5,%IX102.5,DISCRETE,821,u16,,1,no,no,no,
condensate_pump,DISCRETE,LOCAL_MODE,10007,6,%IX102.6,DISCRETE,822,u16,,1,no,no,no,
condensate_pump,DISCRETE,REMOTE_MODE,10008,7,%IX102.7,DISCRETE,823,u16,,1,no,no,no,
condensate_pump,DISCRETE,AUTO_MODE,10009,8,%IX103.0,DISCRETE,824,u16,,1,no,no,no,
condensate_pump,DISCRETE,MANUAL_MODE,10010,9,%IX103.1,DISCRETE,825,u16,,1,no,no,no,
condensate_pump,DISCRETE,CONTROL_WATCHDOG_OK,10011,10,%IX103.2,DISCRETE,826,u16,,1,no,no,no,
condensate_pump,DISCRETE,SIM_BUS_OK,10012,11,%IX103.3,DISCRETE,827,u16,,1,no,no,no,
condensate_pump,DISCRETE,INTERLOCKS_OK,10013,12,%IX103.4,DISCRETE,828,u16,,1,no,no,no,
condensate_pump,DISCRETE,SENSOR_FAULT,10014,13,%IX103.5,DISCRETE,829,u16,,1,no,no,no,
condensate_pump,DISCRETE,ACTUATOR_FAULT,10015,14,%IX103.6,DISCRETE,830,u16,,1,no,no,no,
condensate_pump,DISCRETE,MAINTENANCE_MODE,10016,15,%IX103.7,DISCRETE,831,u16,,1,no,no,no,
condensate_pump,INPUT,STATUS_WORD,30001,0,%IW149,INPUT,149,bitfield,,1,no,no,no,狀態字
condensate_pump,INPUT,ALARM_WORD_1,30002,1,%IW150,INPUT,150,bitfield,,1,no,no,no,
condensate_pump,INPUT,ALARM_WORD_2,30003,2,%IW151,INPUT,151,bitfield,,1,no,no,no,
condensate_pump,INPUT,TRIP_WORD,30004,3,%IW152,INPUT,152,bitfield,,1,no,no,no,
condensate_pump,INPUT,DEVICE_STATE,30005,4,%IW153,INPUT,153,enum,,1,no,no,no,
condensate_pump,INPUT,FIRST_OUT_CODE,30006,5,%IW154,INPUT,154,u16,,1,no,no,no,
condensate_pump,INPUT,OVERALL_QUALITY,30007,6,%IW155,INPUT,155,enum,,1,no,no,no,
condensate_pump,INPUT,REGISTER_MAP_VERSION,30008,7,%IW156,INPUT,156,u16,,1,no,no,no,
condensate_pump,INPUT,FIRMWARE_VERSION,30009,8,%IW157,INPUT,157,u16,,1,no,no,no,
condensate_pump,INPUT,ACTUAL_SPEED,30010,9,%IW158,INPUT,158,u16,%,100,no,no,no,
condensate_pump,INPUT,FLOW,30011,10,%IW159,INPUT,159,u16,kg/s,100,no,no,no,
condensate_pump,INPUT,SUCTION_PRESSURE,30012,11,%IW160,INPUT,160,u16,bar(a),1000,no,no,no,
condensate_pump,INPUT,DISCHARGE_PRESSURE,30013,12,%IW161,INPUT,161,u16,bar(a),100,no,no,no,
condensate_pump,INPUT,MOTOR_CURRENT,30014,13,%IW162,INPUT,162,u16,A,10,no,no,no,
condensate_pump,INPUT,NPSH_MARGIN,30015,14,%IW163,INPUT,163,u16,m,100,no,no,no,
condensate_pump,INPUT,VIBRATION,30016,15,%IW164,INPUT,164,u16,mm/s,100,no,no,no,
condensate_pump,INPUT,SOURCE_LEVEL,30017,16,%IW165,INPUT,165,u16,%,100,no,no,no,
condensate_pump,INPUT,BACKPRESSURE,30018,17,%IW166,INPUT,166,u16,bar(a),100,no,no,no,
condensate_pump,INPUT,OUTLET_VALVE_POSITION,30019,18,%IW167,INPUT,167,u16,%,100,no,no,no,
condensate_pump,INPUT,CAVITATION_FACTOR,30020,19,%IW168,INPUT,168,u16,%,100,no,no,no,
condensate_pump,INPUT,LOCAL_OUTPUT,30026,25,%IW174,INPUT,174,u16,%,100,no,no,no,本地調節器輸出（自持控制的 MV）
condensate_pump,INPUT,SELF_HOLD_STATE,30027,26,%IW175,INPUT,175,enum,,1,no,no,no,0=停用 1=待機等允許條件 2=自持運轉 3=操作員停機 4=跳機鎖定 5=維修
condensate_pump,INPUT,PERMISSIVE_WORD,30028,27,%IW176,INPUT,176,bitfield,,1,no,no,no,各啟動允許條件是否成立（bit0 起）
condensate_pump,INPUT,WATCHDOG_ECHO,30030,29,%IW178,INPUT,178,u16,,1,no,no,no,回應 40003 之值
condensate_pump,INPUT,SCAN_TIME_MS,30031,30,%IW179,INPUT,179,u16,ms,10,no,no,no,物理掃描耗時 ×10
condensate_pump,INPUT,MODBUS_REQUEST_COUNT,30032,31,%IW180,INPUT,180,u16,,1,no,no,no,已處理請求數（模 65536）
condensate_pump,INPUT,REJECTED_COMMAND_COUNT,30033,32,%IW181,INPUT,181,u16,,1,no,no,no,
condensate_pump,INPUT,EXCEPTION_COUNT,30034,33,%IW182,INPUT,182,u16,,1,no,no,no,
condensate_pump,INPUT,SIM_QUALITY_WORD,30035,34,%IW183,INPUT,183,bitfield,,1,no,no,no,每個輸入訊號品質是否 GOOD
condensate_pump,INPUT,SIM_TICK_LOW,30036,35,%IW184,INPUT,184,u16,,1,no,no,no,
condensate_pump,INPUT,COMM_LOSS_SECONDS,30037,36,%IW185,INPUT,185,u16,s,10,no,no,no,
condensate_pump,INPUT,FAULT_INJECT_WORD,30038,37,%IW186,INPUT,186,bitfield,,1,no,no,no,啟用中的故障注入
condensate_pump,INPUT,SNAPSHOT_GENERATION,30039,38,%IW187,INPUT,187,u16,,1,no,no,no,每次快照還原 +1，供測試判斷環境已重置
condensate_pump,INPUT,RUN_SECONDS_HI,30040,39,%IW188,INPUT,188,u32,s,1,no,no,no,
condensate_pump,INPUT,RUN_SECONDS_LO,30041,40,%IW189,INPUT,189,u16,,1,no,no,no,
condensate_pump,INPUT,START_COUNT,30042,41,%IW190,INPUT,190,u16,,1,no,no,no,
condensate_pump,INPUT,TRIP_COUNT,30043,42,%IW191,INPUT,191,u16,,1,no,no,no,
condensate_pump,INPUT,MASS_TOTAL_HI,30044,43,%IW192,INPUT,192,u32,kg,1,no,no,no,
condensate_pump,INPUT,MASS_TOTAL_LO,30045,44,%IW193,INPUT,193,u16,,1,no,no,no,
condensate_pump,INPUT,ENERGY_TOTAL_HI,30046,45,%IW194,INPUT,194,u32,kWh,1,no,no,no,
condensate_pump,INPUT,ENERGY_TOTAL_LO,30047,46,%IW195,INPUT,195,u16,,1,no,no,no,
condensate_pump,INPUT,ALARM_COUNT,30048,47,%IW196,INPUT,196,u16,,1,no,no,no,
condensate_pump,INPUT,ACCEPTED_COMMAND_COUNT,30049,48,%IW197,INPUT,197,u16,,1,no,no,no,
condensate_pump,HOLDING,COMMAND_SEQUENCE,40002,1,%QW103,HOLDING,103,u16,,1,yes,no,yes,命令序號，重置需為新值
condensate_pump,HOLDING,WATCHDOG_COUNTER,40003,2,%QW104,HOLDING,104,u16,,1,yes,no,yes,控制器每秒 +1
condensate_pump,HOLDING,RESET_KEY,40004,3,%QW105,HOLDING,105,u16,,1,yes,no,yes,重置鑰匙 0xA55A
feedwater_tank,COIL,START,1,0,%QX102.0,COIL,816,u16,,1,yes,yes,yes,脈衝啟動命令
feedwater_tank,COIL,STOP,2,1,%QX102.1,COIL,817,u16,,1,yes,yes,yes,正常停止
feedwater_tank,COIL,RESET_TRIP,3,2,%QX102.2,COIL,818,u16,,1,yes,yes,yes,跳機重置脈衝，需 Reset Key
feedwater_tank,COIL,ACK_ALARM,4,3,%QX102.3,COIL,819,u16,,1,yes,yes,yes,警報確認
feedwater_tank,COIL,EMERGENCY_STOP,5,4,%QX102.4,COIL,820,u16,,1,yes,no,yes,緊急停止（保持型）
feedwater_tank,COIL,FORCE_SAFE,6,5,%QX102.5,COIL,821,u16,,1,yes,no,yes,強制安全狀態
feedwater_tank,COIL,TRIP_TEST,7,6,%QX102.6,COIL,822,u16,,1,yes,yes,yes,實驗模式跳機測試（需 LAB_MODE）
feedwater_tank,COIL,CLEAR_TOTALIZER,8,7,%QX102.7,COIL,823,u16,,1,yes,yes,yes,清除累積值
feedwater_tank,DISCRETE,READY,10001,0,%IX104.0,DISCRETE,832,u16,,1,no,no,no,
feedwater_tank,DISCRETE,RUNNING,10002,1,%IX104.1,DISCRETE,833,u16,,1,no,no,no,
feedwater_tank,DISCRETE,STARTING,10003,2,%IX104.2,DISCRETE,834,u16,,1,no,no,no,
feedwater_tank,DISCRETE,STOPPING,10004,3,%IX104.3,DISCRETE,835,u16,,1,no,no,no,
feedwater_tank,DISCRETE,TRIPPED,10005,4,%IX104.4,DISCRETE,836,u16,,1,no,no,no,
feedwater_tank,DISCRETE,ALARM_ACTIVE,10006,5,%IX104.5,DISCRETE,837,u16,,1,no,no,no,
feedwater_tank,DISCRETE,LOCAL_MODE,10007,6,%IX104.6,DISCRETE,838,u16,,1,no,no,no,
feedwater_tank,DISCRETE,REMOTE_MODE,10008,7,%IX104.7,DISCRETE,839,u16,,1,no,no,no,
feedwater_tank,DISCRETE,AUTO_MODE,10009,8,%IX105.0,DISCRETE,840,u16,,1,no,no,no,
feedwater_tank,DISCRETE,MANUAL_MODE,10010,9,%IX105.1,DISCRETE,841,u16,,1,no,no,no,
feedwater_tank,DISCRETE,CONTROL_WATCHDOG_OK,10011,10,%IX105.2,DISCRETE,842,u16,,1,no,no,no,
feedwater_tank,DISCRETE,SIM_BUS_OK,10012,11,%IX105.3,DISCRETE,843,u16,,1,no,no,no,
feedwater_tank,DISCRETE,INTERLOCKS_OK,10013,12,%IX105.4,DISCRETE,844,u16,,1,no,no,no,
feedwater_tank,DISCRETE,SENSOR_FAULT,10014,13,%IX105.5,DISCRETE,845,u16,,1,no,no,no,
feedwater_tank,DISCRETE,ACTUATOR_FAULT,10015,14,%IX105.6,DISCRETE,846,u16,,1,no,no,no,
feedwater_tank,DISCRETE,MAINTENANCE_MODE,10016,15,%IX105.7,DISCRETE,847,u16,,1,no,no,no,
feedwater_tank,INPUT,STATUS_WORD,30001,0,%IW198,INPUT,198,bitfield,,1,no,no,no,狀態字
feedwater_tank,INPUT,ALARM_WORD_1,30002,1,%IW199,INPUT,199,bitfield,,1,no,no,no,
feedwater_tank,INPUT,ALARM_WORD_2,30003,2,%IW200,INPUT,200,bitfield,,1,no,no,no,
feedwater_tank,INPUT,TRIP_WORD,30004,3,%IW201,INPUT,201,bitfield,,1,no,no,no,
feedwater_tank,INPUT,DEVICE_STATE,30005,4,%IW202,INPUT,202,enum,,1,no,no,no,
feedwater_tank,INPUT,FIRST_OUT_CODE,30006,5,%IW203,INPUT,203,u16,,1,no,no,no,
feedwater_tank,INPUT,OVERALL_QUALITY,30007,6,%IW204,INPUT,204,enum,,1,no,no,no,
feedwater_tank,INPUT,REGISTER_MAP_VERSION,30008,7,%IW205,INPUT,205,u16,,1,no,no,no,
feedwater_tank,INPUT,FIRMWARE_VERSION,30009,8,%IW206,INPUT,206,u16,,1,no,no,no,
feedwater_tank,INPUT,TANK_LEVEL,30010,9,%IW207,INPUT,207,u16,%,100,no,no,no,
feedwater_tank,INPUT,TANK_MASS_HI,30011,10,%IW208,INPUT,208,u32,kg,1,no,no,no,
feedwater_tank,INPUT,TANK_MASS_LO,30012,11,%IW209,INPUT,209,u16,kg,1,no,no,no,
feedwater_tank,INPUT,CONDENSATE_INFLOW,30013,12,%IW210,INPUT,210,u16,kg/s,100,no,no,no,
feedwater_tank,INPUT,FEEDWATER_OUTFLOW,30014,13,%IW211,INPUT,211,u16,kg/s,100,no,no,no,
feedwater_tank,INPUT,WATER_TEMPERATURE,30015,14,%IW212,INPUT,212,i16,degC,10,no,no,no,
feedwater_tank,INPUT,TANK_PRESSURE,30016,15,%IW213,INPUT,213,u16,bar(a),1000,no,no,no,
feedwater_tank,INPUT,OVERFLOW_FLOW,30017,16,%IW214,INPUT,214,u16,kg/s,100,no,no,no,
feedwater_tank,INPUT,NET_FLOW,30018,17,%IW215,INPUT,215,i16,kg/s,100,no,no,no,
feedwater_tank,INPUT,LOCAL_OUTPUT,30026,25,%IW223,INPUT,223,u16,%,100,no,no,no,本地調節器輸出（自持控制的 MV）
feedwater_tank,INPUT,SELF_HOLD_STATE,30027,26,%IW224,INPUT,224,enum,,1,no,no,no,0=停用 1=待機等允許條件 2=自持運轉 3=操作員停機 4=跳機鎖定 5=維修
feedwater_tank,INPUT,PERMISSIVE_WORD,30028,27,%IW225,INPUT,225,bitfield,,1,no,no,no,各啟動允許條件是否成立（bit0 起）
feedwater_tank,INPUT,WATCHDOG_ECHO,30030,29,%IW227,INPUT,227,u16,,1,no,no,no,回應 40003 之值
feedwater_tank,INPUT,SCAN_TIME_MS,30031,30,%IW228,INPUT,228,u16,ms,10,no,no,no,物理掃描耗時 ×10
feedwater_tank,INPUT,MODBUS_REQUEST_COUNT,30032,31,%IW229,INPUT,229,u16,,1,no,no,no,已處理請求數（模 65536）
feedwater_tank,INPUT,REJECTED_COMMAND_COUNT,30033,32,%IW230,INPUT,230,u16,,1,no,no,no,
feedwater_tank,INPUT,EXCEPTION_COUNT,30034,33,%IW231,INPUT,231,u16,,1,no,no,no,
feedwater_tank,INPUT,SIM_QUALITY_WORD,30035,34,%IW232,INPUT,232,bitfield,,1,no,no,no,每個輸入訊號品質是否 GOOD
feedwater_tank,INPUT,SIM_TICK_LOW,30036,35,%IW233,INPUT,233,u16,,1,no,no,no,
feedwater_tank,INPUT,COMM_LOSS_SECONDS,30037,36,%IW234,INPUT,234,u16,s,10,no,no,no,
feedwater_tank,INPUT,FAULT_INJECT_WORD,30038,37,%IW235,INPUT,235,bitfield,,1,no,no,no,啟用中的故障注入
feedwater_tank,INPUT,SNAPSHOT_GENERATION,30039,38,%IW236,INPUT,236,u16,,1,no,no,no,每次快照還原 +1，供測試判斷環境已重置
feedwater_tank,INPUT,RUN_SECONDS_HI,30040,39,%IW237,INPUT,237,u32,s,1,no,no,no,
feedwater_tank,INPUT,RUN_SECONDS_LO,30041,40,%IW238,INPUT,238,u16,,1,no,no,no,
feedwater_tank,INPUT,START_COUNT,30042,41,%IW239,INPUT,239,u16,,1,no,no,no,
feedwater_tank,INPUT,TRIP_COUNT,30043,42,%IW240,INPUT,240,u16,,1,no,no,no,
feedwater_tank,INPUT,MASS_TOTAL_HI,30044,43,%IW241,INPUT,241,u32,kg,1,no,no,no,
feedwater_tank,INPUT,MASS_TOTAL_LO,30045,44,%IW242,INPUT,242,u16,,1,no,no,no,
feedwater_tank,INPUT,ENERGY_TOTAL_HI,30046,45,%IW243,INPUT,243,u32,kWh,1,no,no,no,
feedwater_tank,INPUT,ENERGY_TOTAL_LO,30047,46,%IW244,INPUT,244,u16,,1,no,no,no,
feedwater_tank,INPUT,ALARM_COUNT,30048,47,%IW245,INPUT,245,u16,,1,no,no,no,
feedwater_tank,INPUT,ACCEPTED_COMMAND_COUNT,30049,48,%IW246,INPUT,246,u16,,1,no,no,no,
feedwater_tank,HOLDING,COMMAND_SEQUENCE,40002,1,%QW106,HOLDING,106,u16,,1,yes,no,yes,命令序號，重置需為新值
feedwater_tank,HOLDING,WATCHDOG_COUNTER,40003,2,%QW107,HOLDING,107,u16,,1,yes,no,yes,控制器每秒 +1
feedwater_tank,HOLDING,RESET_KEY,40004,3,%QW108,HOLDING,108,u16,,1,yes,no,yes,重置鑰匙 0xA55A
feedwater_pump,COIL,START,1,0,%QX103.0,COIL,824,u16,,1,yes,yes,yes,脈衝啟動命令
feedwater_pump,COIL,STOP,2,1,%QX103.1,COIL,825,u16,,1,yes,yes,yes,正常停止
feedwater_pump,COIL,RESET_TRIP,3,2,%QX103.2,COIL,826,u16,,1,yes,yes,yes,跳機重置脈衝，需 Reset Key
feedwater_pump,COIL,ACK_ALARM,4,3,%QX103.3,COIL,827,u16,,1,yes,yes,yes,警報確認
feedwater_pump,COIL,EMERGENCY_STOP,5,4,%QX103.4,COIL,828,u16,,1,yes,no,yes,緊急停止（保持型）
feedwater_pump,COIL,FORCE_SAFE,6,5,%QX103.5,COIL,829,u16,,1,yes,no,yes,強制安全狀態
feedwater_pump,COIL,TRIP_TEST,7,6,%QX103.6,COIL,830,u16,,1,yes,yes,yes,實驗模式跳機測試（需 LAB_MODE）
feedwater_pump,COIL,CLEAR_TOTALIZER,8,7,%QX103.7,COIL,831,u16,,1,yes,yes,yes,清除累積值
feedwater_pump,DISCRETE,READY,10001,0,%IX106.0,DISCRETE,848,u16,,1,no,no,no,
feedwater_pump,DISCRETE,RUNNING,10002,1,%IX106.1,DISCRETE,849,u16,,1,no,no,no,
feedwater_pump,DISCRETE,STARTING,10003,2,%IX106.2,DISCRETE,850,u16,,1,no,no,no,
feedwater_pump,DISCRETE,STOPPING,10004,3,%IX106.3,DISCRETE,851,u16,,1,no,no,no,
feedwater_pump,DISCRETE,TRIPPED,10005,4,%IX106.4,DISCRETE,852,u16,,1,no,no,no,
feedwater_pump,DISCRETE,ALARM_ACTIVE,10006,5,%IX106.5,DISCRETE,853,u16,,1,no,no,no,
feedwater_pump,DISCRETE,LOCAL_MODE,10007,6,%IX106.6,DISCRETE,854,u16,,1,no,no,no,
feedwater_pump,DISCRETE,REMOTE_MODE,10008,7,%IX106.7,DISCRETE,855,u16,,1,no,no,no,
feedwater_pump,DISCRETE,AUTO_MODE,10009,8,%IX107.0,DISCRETE,856,u16,,1,no,no,no,
feedwater_pump,DISCRETE,MANUAL_MODE,10010,9,%IX107.1,DISCRETE,857,u16,,1,no,no,no,
feedwater_pump,DISCRETE,CONTROL_WATCHDOG_OK,10011,10,%IX107.2,DISCRETE,858,u16,,1,no,no,no,
feedwater_pump,DISCRETE,SIM_BUS_OK,10012,11,%IX107.3,DISCRETE,859,u16,,1,no,no,no,
feedwater_pump,DISCRETE,INTERLOCKS_OK,10013,12,%IX107.4,DISCRETE,860,u16,,1,no,no,no,
feedwater_pump,DISCRETE,SENSOR_FAULT,10014,13,%IX107.5,DISCRETE,861,u16,,1,no,no,no,
